KOD_ZSJ_P;hour;day;users
10189;12;workday;98
10189;13;workday;109
10189;14;workday;87
10189;15;workday;78
10189;16;workday;67
10189;17;workday;53
10189;18;workday;38
10189;19;workday;17
10189;20;workday;7
10189;21;workday;6
10189;22;workday;6
10189;23;workday;6
10189;6;weekend;10
10189;7;weekend;18
10189;8;weekend;42
10189;9;weekend;66
10189;10;weekend;68
10189;11;weekend;83
10189;12;weekend;77
10189;13;weekend;88
10189;14;weekend;61
10189;15;weekend;59
10189;16;weekend;42
10189;17;weekend;30
10189;18;weekend;23
10189;19;weekend;5
10189;20;weekend;5
10189;21;weekend;4
10189;22;weekend;4
10189;23;weekend;5
10197;6;workday;1135
10197;7;workday;1404
10197;8;workday;1782
10197;9;workday;1974
10197;10;workday;2028
10197;11;workday;1936
10197;12;workday;1834
10197;13;workday;1660
10197;14;workday;1534
10197;15;workday;1302
10197;16;workday;1192
10197;17;workday;1005
10197;18;workday;941
10197;19;workday;911
10197;20;workday;919
10197;21;workday;911
10197;22;workday;900
10197;23;workday;902
10197;6;weekend;748
10197;7;weekend;782
10197;8;weekend;836
10197;9;weekend;897
10197;10;weekend;971
10197;11;weekend;825
10197;12;weekend;767
10197;13;weekend;714
10197;14;weekend;693
10197;15;weekend;681
10197;16;weekend;672
10197;17;weekend;681
10197;18;weekend;658
10197;19;weekend;639
10197;20;weekend;653
10197;21;weekend;675
10197;22;weekend;670
10197;23;weekend;681
10201;6;workday;493
10201;7;workday;877
10201;8;workday;917
10201;9;workday;1108
10201;10;workday;1129
10201;11;workday;1082
10201;12;workday;1063
10201;13;workday;1052
10201;14;workday;1002
10201;15;workday;973
10201;16;workday;899
10201;17;workday;711
10201;18;workday;537
10201;19;workday;421
10201;20;workday;343
10201;21;workday;248
10201;22;workday;196
10201;23;workday;152
10201;6;weekend;235
10201;7;weekend;374
10201;8;weekend;736
10201;9;weekend;1018
10201;10;weekend;1175
10201;11;weekend;1140
10201;12;weekend;993
10201;13;weekend;839
10201;14;weekend;689
10201;15;weekend;603
10201;16;weekend;498
10201;17;weekend;462
10201;18;weekend;385
10201;19;weekend;304
10201;20;weekend;244
10201;21;weekend;172
10201;22;weekend;155
10201;23;weekend;153
10219;6;workday;744
